,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
55,Avenged Sevenfold,Flash of the Blade,4.0244333333333335,0.000386,0.45,0.989,0.00239,7,0.111,-2.736,1,0.0949,113.052,4,https://api.spotify.com/v1/tracks/7ew1h0FyIxv4milkx4vYKg,0.172,49
56,Avenged Sevenfold,Beast and the Harlot,5.726666666666667,6.28e-05,0.37,0.981,0.00225,5,0.331,-3.296,1,0.0633,155.177,4,https://api.spotify.com/v1/tracks/6FVYwnVrnAEIRnY3bHJb46,0.413,61
57,Avenged Sevenfold,Burn It Down,4.980216666666666,0.0012,0.345,0.974,3.03e-05,2,0.362,-3.221,0,0.0607,175.027,4,https://api.spotify.com/v1/tracks/4bcN9riyILh4IXEdmLGa8m,0.571,51
58,Avenged Sevenfold,Bat Country,5.196883333333333,0.000248,0.541,0.968,8.28e-06,0,0.423,-4.129,1,0.0396,125.04,4,https://api.spotify.com/v1/tracks/3sHH7lklbfpcraDDvYnjo7,0.505,68
59,Avenged Sevenfold,Betrayed,6.773766666666667,0.00133,0.468,0.929,1.54e-06,5,0.296,-3.787,1,0.0556,130.009,4,https://api.spotify.com/v1/tracks/5fArVBrjtT7UPIQ8j2yQnJ,0.515,49
60,Avenged Sevenfold,Seize the Day,5.5677666666666665,0.0168,0.393,0.802,0.0,5,0.193,-4.499,1,0.0367,140.101,4,https://api.spotify.com/v1/tracks/7HKRWMTErKh56EIBeFcmdf,0.338,61
61,Avenged Sevenfold,Shepherd of Fire,5.3966666666666665,0.000332,0.576,0.906,0.0614,2,0.0908,-7.677,1,0.0571,127.935,4,https://api.spotify.com/v1/tracks/1fQaoh3imrMunWVZh5kf90,0.211,67
62,Avenged Sevenfold,Hail to the King,5.081333333333333,0.000376,0.585,0.887,0.0518,3,0.132,-5.086,0,0.0362,118.035,4,https://api.spotify.com/v1/tracks/5anCkDvJ17aznvK5TED5uo,0.711,75
63,Avenged Sevenfold,This Means War,6.154883333333333,0.000554,0.614,0.914,1.16e-05,7,0.0371,-5.59,0,0.0324,90.0,4,https://api.spotify.com/v1/tracks/2NImo2MajNai4CLk35wMut,0.439,63
64,Avenged Sevenfold,Coming Home,6.423333333333333,0.000128,0.378,0.975,0.0018,1,0.204,-6.447,0,0.055,178.008,4,https://api.spotify.com/v1/tracks/3vYP5IgBfHv9nWbNhTq3IS,0.457,56
65,Avenged Sevenfold,Unholy Confessions,4.730433333333333,0.000359,0.448,0.875,0.00109,2,0.255,-5.446,0,0.0666,92.53,4,https://api.spotify.com/v1/tracks/20g7z9R1wjE7EtVnB7XEjS,0.524,61
66,Avenged Sevenfold,Chapter Four,5.7088833333333335,4.65e-05,0.477,0.953,0.107,2,0.176,-5.009,0,0.049,96.014,4,https://api.spotify.com/v1/tracks/68R49tAYEKt1MVONfRHRG3,0.356,53
